identificador,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,columna_19,columna_20,columna_21,columna_22,columna_23,columna_24,columna_25,columna_26,columna_27,columna_28,columna_29,columna_30,columna_31,columna_32,columna_33,columna_34,columna_35,columna_36,columna_37,columna_38,columna_39,columna_40,columna_41,columna_42,columna_43,columna_44,columna_45,columna_46,columna_47,columna_48,columna_49
11,nombreA11,apellidoA11,44167,132.56,Activo,42746,4,96,5,36,97,78,52,10,84,86,56,87,91,1,6,19,30,19,66,2,28,32,53,31,69,2,70,85,98,52,67,75,10,14,85,57,12,62,70,20,54,45,71
12,nombreA12,apellidoA12,44198,133.81,Activo,42747,57,84,60,43,37,84,37,21,83,16,39,90,85,70,80,28,48,65,65,13,94,75,4,13,46,77,34,15,24,40,44,85,78,24,61,80,73,17,40,82,93,42,95
13,nombreA13,apellidoA13,44229,135.06,Activo,42748,26,60,97,70,61,82,32,92,17,3,4,89,48,71,35,2,96,5,62,47,74,6,58,98,52,20,99,12,69,48,31,64,33,4,74,63,63,78,81,42,8,60,47
14,nombreA14,apellidoA14,44257,136.31,Activo,42749,18,7,25,54,34,24,29,71,32,94,16,12,94,8,48,41,47,17,30,10,66,47,89,41,11,0,49,33,20,92,37,21,48,88,82,63,71,25,46,11,41,66,0
15,nombreA15,apellidoA15,44288,137.56,Activo,42750,85,7,95,37,76,90,3,39,68,70,88,1,22,47,13,94,73,58,35,53,57,88,26,24,38,48,89,20,35,97,4,19,69,6,0,19,38,17,68,62,13,39,44
16,nombreA16,apellidoA16,44318,138.81,Activo,42751,5,10,73,5,45,29,45,72,47,63,28,98,81,7,75,96,1,14,21,7,73,5,10,16,9,19,53,78,76,24,85,26,9,91,32,80,80,31,5,86,87,68,45
17,nombreA17,apellidoA17,44349,140.06,Activo,42752,87,3,89,27,28,28,2,92,10,45,96,71,39,93,2,4,24,81,8,71,10,14,22,72,73,35,2,60,87,11,70,59,1,15,29,12,41,81,5,64,63,91,30
18,nombreA18,apellidoA18,44379,141.31,Activo,42753,24,79,1,94,77,50,82,9,65,15,20,52,93,43,11,38,58,69,94,11,15,90,88,78,43,95,17,10,22,78,29,38,9,12,15,3,40,72,78,71,11,18,58
19,nombreA19,apellidoA19,44410,142.56,Activo,42754,16,25,42,92,10,53,37,5,72,72,57,15,69,18,44,26,36,32,79,25,7,40,31,59,50,62,50,6,51,49,23,93,1,45,46,0,97,65,89,72,1,11,0
20,nombreA20,apellidoA20,44441,143.81,Activo,42755,43,36,35,50,44,33,83,64,17,3,46,57,71,84,68,13,42,80,56,63,65,36,25,49,19,24,88,95,52,99,9,57,69,72,25,5,42,19,97,59,33,33,77
21,nombreA21,apellidoA21,44471,145.06,Activo,42756,14,10,91,17,0,27,20,90,83,30,93,1,87,81,17,21,95,52,89,31,62,20,64,76,9,23,97,43,34,70,46,72,7,96,93,30,73,40,55,15,53,43,90
22,nombreA22,apellidoA22,44502,146.31,Activo,42757,35,16,32,96,50,81,62,62,56,19,73,49,42,97,17,91,61,62,33,50,35,10,39,98,68,14,43,75,79,44,91,2,22,88,28,53,74,90,43,6,82,98,85
23,nombreA23,apellidoA23,44532,147.56,Activo,42758,71,90,60,92,72,81,83,0,20,71,59,62,68,29,18,50,33,16,23,81,25,1,45,2,57,66,72,14,29,6,27,60,15,84,9,87,31,69,85,23,97,32,53
24,nombreA24,apellidoA24,44563,148.81,Activo,42759,60,99,24,96,37,55,17,87,40,86,11,6,39,61,75,24,55,62,50,67,53,54,50,43,30,91,71,89,0,72,5,59,43,14,29,35,41,76,99,77,54,34,70
25,nombreA25,apellidoA25,44594,150.06,Activo,42760,78,60,20,18,97,70,93,3,90,86,12,72,39,15,90,86,80,38,71,37,47,9,38,96,49,21,17,46,56,16,25,65,30,88,91,93,23,99,16,7,21,38,91
26,nombreA26,apellidoA26,44622,151.31,Activo,42761,73,38,86,74,84,69,4,6,80,88,15,76,31,78,62,63,93,99,49,2,31,91,66,46,35,82,76,68,28,57,53,49,26,15,44,84,62,83,22,81,51,50,93
27,nombreA27,apellidoA27,44653,152.56,Activo,42762,87,36,92,99,93,60,38,19,10,0,83,10,11,2,85,11,68,7,28,46,62,80,31,2,38,5,26,72,3,37,73,93,92,44,14,1,60,28,92,30,61,9,47
28,nombreA28,apellidoA28,44683,153.81,Activo,42763,76,71,7,0,74,94,49,50,76,62,19,19,36,72,57,11,51,17,91,27,26,82,57,76,49,83,67,12,53,92,71,88,65,8,39,87,59,79,57,74,47,30,60
29,nombreA29,apellidoA29,44714,155.06,Activo,42764,61,35,51,44,9,62,90,10,96,96,98,30,79,66,31,45,35,61,85,99,84,41,26,3,15,13,0,9,48,59,37,8,82,94,7,49,41,92,80,72,95,46,12
30,nombreA30,apellidoA30,44744,156.31,Activo,42765,56,33,18,84,72,7,5,36,30,64,69,74,6,14,70,36,32,38,26,86,42,92,42,19,21,95,6,86,72,97,37,80,25,63,34,76,31,20,49,69,85,67,75
31,nombreA31,apellidoA31,44775,157.56,Activo,42766,76,79,76,99,11,97,2,70,21,10,44,24,80,52,23,36,22,47,8,55,83,3,75,99,8,87,20,48,86,32,39,10,66,89,21,91,84,79,60,73,99,64,26
32,nombreA32,apellidoA32,44806,158.81,Activo,42767,61,68,66,26,51,13,44,70,99,34,48,72,61,7,87,22,30,32,36,63,49,70,26,50,46,8,70,83,84,44,71,95,15,45,0,37,60,4,81,93,87,49,83
33,nombreA33,apellidoA33,44836,160.06,Activo,42768,2,66,10,71,51,6,2,77,19,13,70,66,65,86,99,9,47,25,1,89,93,16,28,82,77,64,65,56,21,74,27,56,98,26,9,15,51,41,24,39,38,34,22
34,nombreA34,apellidoA34,44867,161.31,Activo,42769,92,49,5,11,0,34,49,64,82,79,79,56,19,88,76,82,45,4,2,86,92,66,29,94,3,66,20,77,29,79,60,52,53,73,71,2,21,58,95,83,3,40,63
35,nombreA35,apellidoA35,44897,162.56,Activo,42770,90,78,77,1,4,37,16,11,22,7,29,1,49,26,29,62,63,40,19,2,3,6,89,84,63,23,18,34,17,56,60,39,27,99,84,41,17,46,40,60,56,8,2
36,nombreA36,apellidoA36,44928,163.81,Activo,42771,73,36,89,71,1,98,1,6,58,53,32,49,57,51,0,38,14,66,94,82,15,8,70,92,51,92,89,50,83,31,61,23,90,11,93,9,71,70,77,90,69,24,41
37,nombreA37,apellidoA37,44959,165.06,Activo,42772,2,69,13,51,39,97,40,18,86,6,34,64,55,67,20,10,9,15,96,76,9,42,18,10,5,9,84,91,98,78,43,47,42,1,4,11,61,87,7,29,19,80,79
38,nombreA38,apellidoA38,44987,166.31,Activo,42773,30,89,53,29,27,7,35,39,29,43,21,76,44,2,59,16,19,86,55,68,17,28,4,84,98,68,28,30,1,36,39,30,56,54,23,42,26,7,59,56,7,34,96
39,nombreA39,apellidoA39,45018,167.56,Activo,42774,25,14,92,99,5,6,95,89,1,78,4,53,53,86,19,18,89,0,24,67,13,34,28,65,15,33,31,72,79,89,37,47,53,47,69,96,71,0,80,52,20,66,7
40,nombreA40,apellidoA40,45048,168.81,Activo,42775,71,97,50,45,45,34,65,19,53,12,96,44,94,82,26,79,77,77,98,28,4,21,77,77,55,44,13,95,61,0,55,54,31,86,50,5,46,54,19,88,31,42,23
41,nombreA41,apellidoA41,45079,170.06,Activo,42776,55,50,38,89,84,49,34,85,17,51,34,55,95,58,83,26,59,40,61,64,56,41,50,80,71,92,37,10,59,87,62,66,73,6,80,33,17,41,47,11,27,31,50
42,nombreA42,apellidoA42,45109,171.31,Activo,42777,64,68,40,49,62,63,91,61,82,39,68,36,61,44,78,45,75,61,78,15,90,0,41,38,22,16,10,88,49,17,6,94,46,99,28,16,1,12,44,45,93,12,24
43,nombreA43,apellidoA43,45140,172.56,Activo,42778,45,27,25,60,11,58,37,51,35,32,61,68,73,61,60,40,85,85,63,32,43,84,96,60,74,74,58,1,41,8,96,15,50,61,27,87,44,80,25,84,6,42,80
44,nombreA44,apellidoA44,45171,173.81,Activo,42779,18,83,16,69,83,31,93,45,20,61,74,70,62,72,94,49,90,61,89,31,9,34,67,56,58,39,16,8,19,85,24,12,87,91,11,34,62,43,32,32,92,22,19
45,nombreA45,apellidoA45,45201,175.06,Activo,42780,83,89,46,30,51,40,56,20,9,60,39,39,7,12,53,32,27,60,70,75,81,33,34,72,13,17,73,78,0,52,46,52,20,64,38,67,77,36,3,38,14,12,38
46,nombreA46,apellidoA46,45232,176.31,Activo,42781,30,13,46,31,81,77,61,23,96,16,10,94,76,0,88,0,22,1,43,50,38,9,55,84,9,26,12,46,50,44,49,33,26,27,68,46,25,88,23,79,80,43,5
47,nombreA47,apellidoA47,45262,177.56,Activo,42782,39,45,45,64,20,87,21,23,14,20,63,87,35,14,27,68,72,35,82,11,36,7,17,27,85,59,65,18,88,10,68,10,43,23,3,28,78,14,54,60,33,27,17
48,nombreA48,apellidoA48,45293,178.81,Activo,42783,24,97,63,55,25,98,92,18,34,78,17,81,76,99,34,10,0,82,25,45,33,6,39,94,62,1,38,38,91,70,71,69,80,20,97,49,68,67,4,11,72,89,78
49,nombreA49,apellidoA49,45324,180.06,Activo,42784,90,85,38,52,4,42,82,22,26,61,84,49,62,91,56,76,3,6,66,89,84,79,82,8,59,88,71,34,16,36,78,82,50,73,56,76,79,10,26,88,52,17,65
50,nombreA50,apellidoA50,45353,181.31,Activo,42785,18,57,77,93,59,21,84,81,41,18,12,99,23,97,44,85,1,41,37,73,57,20,57,69,57,98,73,29,59,45,9,43,96,66,47,81,77,8,98,87,15,62,97
51,nombreA51,apellidoA51,45384,182.56,Activo,42786,4,96,37,82,38,22,95,14,33,17,3,83,21,34,44,59,67,98,7,89,28,55,69,66,4,50,17,56,93,63,79,57,28,21,32,4,0,93,56,41,37,58,95
52,nombreA52,apellidoA52,45414,183.81,Activo,42787,81,76,11,17,63,50,12,53,3,47,92,51,39,97,98,44,94,80,22,37,22,73,41,95,89,13,33,68,53,60,11,96,28,59,37,6,57,20,32,77,69,2,39
53,nombreA53,apellidoA53,45445,185.06,Activo,42788,81,75,31,62,12,34,84,51,57,48,32,98,6,95,7,37,89,57,72,0,12,27,45,67,19,83,52,2,76,16,17,76,40,77,84,56,51,72,23,86,72,26,22
54,nombreA54,apellidoA54,45475,186.31,Activo,42789,71,45,96,83,40,43,81,67,25,79,8,6,28,21,17,54,53,8,73,38,24,80,25,26,32,25,19,27,60,62,32,81,66,71,83,82,59,22,85,63,77,48,12
55,nombreA55,apellidoA55,45506,187.56,Activo,42790,83,61,48,84,18,52,52,13,0,45,79,93,43,98,9,61,90,63,87,31,31,9,50,22,35,16,19,42,25,93,22,31,12,91,42,92,53,45,95,65,67,73,87
56,nombreA56,apellidoA56,45537,188.81,Activo,42791,34,65,43,10,44,27,85,53,81,95,90,10,61,44,63,18,53,87,54,50,36,25,23,32,80,17,96,84,21,18,90,14,76,72,42,98,57,20,48,74,36,6,87
57,nombreA57,apellidoA57,45567,190.06,Activo,42792,63,23,34,70,68,89,11,52,34,80,71,66,1,31,8,18,56,87,46,46,8,53,86,70,98,62,27,31,65,19,4,13,46,47,41,33,58,48,99,62,72,58,27
58,nombreA58,apellidoA58,45598,191.31,Activo,42793,43,23,7,42,70,91,76,48,76,67,67,9,54,68,45,17,0,88,65,87,87,99,26,8,3,43,84,69,95,34,34,56,44,73,67,27,59,61,45,17,83,24,74
59,nombreA59,apellidoA59,45628,192.56,Activo,42794,1,89,77,49,32,64,83,72,56,35,62,34,5,59,97,47,79,34,95,59,40,59,48,56,33,74,56,28,31,81,17,93,13,32,92,21,10,69,87,29,37,93,66
60,nombreA60,apellidoA60,45659,193.81,Activo,42795,96,8,83,15,55,2,37,82,65,86,80,63,10,27,78,54,12,70,26,55,75,1,52,49,21,29,80,61,98,95,50,77,80,87,11,70,22,16,74,67,95,47,84
61,nombreA61,apellidoA61,45690,195.06,Activo,42796,84,42,90,77,46,40,81,96,45,80,13,20,71,53,55,62,11,11,10,2,63,97,64,71,51,24,72,3,75,36,43,62,58,78,92,85,68,78,93,33,64,7,11
62,nombreA62,apellidoA62,45718,196.31,Activo,42797,83,48,83,49,81,99,97,34,98,66,3,79,36,65,39,47,59,30,70,69,94,12,19,37,36,88,93,72,80,44,90,3,97,41,79,10,10,96,22,88,21,16,80
63,nombreA63,apellidoA63,45749,197.56,Activo,42798,90,80,58,47,42,63,65,13,46,5,11,52,7,39,41,97,48,99,51,88,87,68,54,34,86,10,70,23,72,89,67,95,11,72,74,66,11,27,26,81,37,2,96
64,nombreA64,apellidoA64,45779,198.81,Activo,42799,94,13,94,74,81,28,26,15,49,35,19,21,70,55,95,18,81,10,72,13,20,75,18,32,42,0,36,50,67,7,61,88,96,61,37,84,29,80,48,82,13,44,64
65,nombreA65,apellidoA65,45810,200.06,Activo,42800,43,4,92,66,5,55,84,53,87,33,48,65,59,98,90,71,21,8,8,0,45,78,5,14,91,72,32,89,34,0,11,69,48,28,29,10,26,60,55,18,52,15,49
66,nombreA66,apellidoA66,45840,201.31,Activo,42801,59,68,0,6,19,10,17,95,53,19,23,93,88,24,83,79,79,36,62,0,29,69,1,96,29,37,11,3,72,69,73,14,78,45,48,53,14,20,12,34,75,64,54
67,nombreA67,apellidoA67,45871,202.56,Activo,42802,75,41,4,24,54,57,67,17,28,5,92,93,51,54,9,81,16,11,68,58,47,94,69,75,53,61,66,48,5,11,35,33,93,68,64,60,63,44,54,0,17,85,90
68,nombreA68,apellidoA68,45902,203.81,Activo,42803,38,83,33,62,55,70,31,48,35,6,23,37,8,99,87,6,66,30,37,51,51,88,85,99,69,20,35,77,19,97,73,81,62,54,7,4,62,91,82,64,71,20,14
69,nombreA69,apellidoA69,45932,205.06,Activo,42804,9,8,89,63,49,93,2,44,42,99,17,27,99,38,86,40,91,11,45,75,57,41,58,5,61,65,70,96,38,61,29,88,45,73,48,73,6,84,35,63,32,18,98
70,nombreA70,apellidoA70,45963,206.31,Activo,42805,40,60,50,85,97,94,34,4,59,58,31,4,30,19,56,76,31,87,6,53,21,42,56,5,53,83,28,56,45,80,79,84,95,80,17,99,49,69,8,95,98,66,40
71,nombreA71,apellidoA71,45993,207.56,Activo,42806,56,87,74,36,88,62,42,99,35,83,56,71,67,35,65,98,40,98,17,88,41,14,53,17,1,69,94,11,55,78,69,35,42,25,1,3,67,24,44,18,38,95,47
72,nombreA72,apellidoA72,46024,208.81,Activo,42807,52,50,42,48,4,27,31,60,43,29,79,64,6,56,33,66,99,72,7,71,62,84,45,65,12,74,47,90,69,60,77,98,85,72,74,55,34,95,2,97,94,64,67
73,nombreA73,apellidoA73,46055,210.06,Activo,42808,75,23,5,90,16,5,45,66,84,18,56,5,61,79,7,41,89,36,65,0,49,73,3,26,80,60,24,28,24,82,92,65,85,31,49,85,18,43,0,34,76,66,72
74,nombreA74,apellidoA74,46083,211.31,Activo,42809,50,32,24,76,60,18,0,84,72,41,65,65,84,58,92,88,52,39,23,97,60,50,46,62,55,4,74,31,45,8,67,78,74,92,42,87,46,6,77,3,55,70,72
75,nombreA75,apellidoA75,46114,212.56,Activo,42810,56,84,22,30,9,24,8,95,68,70,75,61,61,89,57,77,59,69,2,29,59,97,31,99,28,13,53,48,30,76,62,85,81,32,30,95,47,95,11,85,96,42,78
76,nombreA76,apellidoA76,46144,213.81,Activo,42811,27,51,67,94,94,18,83,58,48,61,98,2,36,58,68,53,52,65,81,48,20,18,23,20,54,95,68,42,5,41,78,62,55,32,32,87,56,43,72,23,56,9,87
77,nombreA77,apellidoA77,46175,215.06,Activo,42812,90,35,64,62,45,55,44,44,42,24,75,98,37,91,52,12,89,72,83,48,49,57,59,92,10,73,9,86,3,86,27,80,28,88,23,8,48,2,8,61,68,41,48
78,nombreA78,apellidoA78,46205,216.31,Activo,42813,78,38,50,14,47,56,81,73,51,37,48,41,5,87,59,4,14,76,20,72,78,50,66,50,1,3,31,47,14,23,5,45,93,69,16,39,27,81,5,62,75,61,5
79,nombreA79,apellidoA79,46236,217.56,Activo,42814,48,98,49,9,87,81,50,16,21,92,86,29,66,45,80,2,76,4,18,34,51,30,50,2,37,78,94,18,48,3,12,95,72,68,83,5,64,83,17,73,98,23,92
80,nombreA80,apellidoA80,46267,218.81,Activo,42815,30,23,65,76,28,20,94,13,43,58,57,6,66,48,75,22,22,64,97,74,76,24,35,0,8,19,13,91,52,62,39,47,79,72,8,32,54,85,84,98,2,5,90
81,nombreA81,apellidoA81,46297,220.06,Activo,42816,38,32,61,11,7,22,81,20,55,25,62,66,77,11,66,1,99,56,51,18,36,38,28,24,5,77,67,97,50,52,42,69,76,59,94,37,11,19,7,59,38,24,30
82,nombreA82,apellidoA82,46328,221.31,Activo,42817,58,60,35,8,38,75,33,5,2,2,44,8,62,31,71,19,10,41,3,49,69,44,69,5,85,26,80,8,63,82,93,77,91,31,84,66,4,49,66,27,73,2,54
83,nombreA83,apellidoA83,46358,222.56,Activo,42818,65,95,21,32,17,91,76,37,35,64,88,78,56,77,31,10,64,40,67,44,84,34,11,13,97,67,62,30,39,50,89,98,98,72,39,42,96,62,24,8,5,58,39
84,nombreA84,apellidoA84,46389,223.81,Activo,42819,43,46,59,14,66,80,40,85,1,60,84,99,99,44,10,98,58,76,99,0,13,26,21,44,55,94,38,98,65,29,2,28,64,48,10,75,41,61,75,8,13,5,83
85,nombreA85,apellidoA85,46420,225.06,Activo,42820,73,27,45,16,95,58,74,32,58,57,95,47,95,10,99,32,91,66,96,66,12,2,55,40,81,24,10,58,81,90,7,63,25,63,3,69,30,66,84,32,80,64,80
86,nombreA86,apellidoA86,46448,226.31,Activo,42821,61,84,89,7,14,47,90,9,62,86,87,34,20,36,52,83,17,90,41,48,93,31,96,41,6,40,94,86,13,34,81,7,80,68,72,96,44,23,89,1,99,22,77
87,nombreA87,apellidoA87,46479,227.56,Activo,42822,99,64,45,42,67,71,28,13,65,3,54,73,31,55,45,73,18,44,75,41,29,99,49,83,40,56,28,14,13,6,97,96,60,10,12,33,37,78,28,22,26,3,52
88,nombreA88,apellidoA88,46509,228.81,Activo,42823,63,99,26,35,46,40,85,32,90,16,35,91,80,4,55,58,66,99,97,47,68,8,54,70,17,35,32,89,81,16,66,79,13,39,18,20,76,63,14,19,45,28,38
89,nombreA89,apellidoA89,46540,230.06,Activo,42824,10,63,71,93,62,36,57,91,67,53,67,4,48,7,99,93,24,88,67,69,82,12,95,90,4,50,3,81,19,74,43,9,37,19,2,52,3,1,68,36,96,56,97
90,nombreA90,apellidoA90,46570,231.31,Activo,42825,30,6,31,55,68,32,41,26,79,38,56,10,29,93,79,24,83,27,3,0,72,91,5,83,8,46,70,79,23,60,66,40,17,7,91,32,55,86,70,22,36,34,55
91,nombreA91,apellidoA91,46601,232.56,Activo,42826,2,51,22,35,37,86,33,94,36,28,52,51,46,88,59,53,61,53,20,51,82,42,57,34,40,61,55,73,57,70,1,96,89,43,8,53,10,64,55,76,61,17,46
92,nombreA92,apellidoA92,46632,233.81,Activo,42827,0,54,11,67,67,10,0,87,49,96,55,73,90,0,37,59,68,88,68,80,34,62,23,20,45,53,71,27,13,62,61,59,12,36,71,68,16,96,18,3,50,31,1
93,nombreA93,apellidoA93,46662,235.06,Activo,42828,46,8,37,13,25,95,97,33,58,17,42,4,56,78,66,53,42,95,67,76,81,60,49,58,6,18,80,8,20,21,23,84,16,7,86,4,68,98,28,15,30,44,98
94,nombreA94,apellidoA94,46693,236.31,Activo,42829,73,9,86,18,24,24,46,74,33,4,1,46,33,72,14,48,57,17,97,38,21,34,77,90,33,87,48,18,64,91,59,2,56,28,1,20,21,94,44,63,31,39,33
95,nombreA95,apellidoA95,46723,237.56,Activo,42830,79,44,59,63,82,24,33,43,1,7,62,46,95,55,49,43,98,64,24,92,56,17,95,31,70,31,86,96,99,65,29,23,3,25,4,79,25,85,90,56,15,40,57
96,nombreA96,apellidoA96,46754,238.81,Activo,42831,96,68,41,22,54,96,32,37,18,38,55,84,63,18,67,85,47,82,46,25,13,9,69,88,77,79,22,68,68,74,47,59,8,1,31,95,32,46,13,29,61,47,60
97,nombreA1,apellidoA1,43863,120.05,Activo,42832,61,16,85,82,16,52,66,97,50,38,15,95,80,97,51,56,2,57,20,99,62,29,22,96,29,78,57,46,50,26,74,94,14,20,81,35,1,12,93,9,54,14,30
98,nombreA2,apellidoA2,43892,121.33,Activo,42833,32,91,25,60,96,34,5,91,12,45,78,34,2,21,65,60,94,64,8,58,84,92,64,59,50,67,25,94,77,58,82,26,71,45,24,24,75,14,72,46,93,4,70
99,nombreA3,apellidoA3,43923,122.55,Activo,42834,40,9,39,94,60,84,70,63,76,55,85,24,95,99,71,76,1,33,70,27,28,45,56,44,25,3,0,4,80,65,62,87,72,99,61,68,1,47,74,47,30,15,28
100,nombreA4,apellidoA4,43953,123.81,Activo,42835,42,13,25,59,99,83,68,32,65,8,2,70,7,54,96,32,17,43,58,36,97,15,37,59,61,6,39,97,87,23,62,84,15,53,44,90,0,40,55,82,13,67,49
101,nombreA5,apellidoA5,43984,125.06,Activo,42836,40,92,50,30,52,17,41,31,37,30,35,96,85,54,62,94,79,54,56,6,82,72,57,44,51,89,87,61,2,9,5,95,34,32,6,14,53,63,22,34,81,38,76
102,nombreA6,apellidoA6,44014,126.31,Activo,42837,57,64,84,73,19,77,91,49,73,7,40,88,14,47,96,99,2,24,63,86,96,96,28,25,35,48,9,77,89,9,87,96,93,54,81,42,7,32,22,16,90,20,22
103,nombreA7,apellidoA7,44045,127.56,Activo,42838,9,44,91,26,14,7,36,55,42,96,19,71,73,86,85,91,81,85,51,58,69,57,66,36,10,22,39,46,0,47,35,0,63,38,85,52,56,83,24,91,49,99,24
104,nombreA8,apellidoA8,44076,128.81,Activo,42839,50,64,33,63,20,21,14,74,65,61,27,92,86,8,85,14,88,96,73,28,40,92,68,77,90,4,56,47,0,39,58,11,70,85,98,90,32,17,66,88,14,74,35
105,nombreA9,apellidoA9,44106,130.06,Activo,42840,33,15,12,77,53,94,21,94,22,50,85,5,72,34,90,69,3,6,4,0,97,48,20,3,13,81,82,11,43,25,14,82,85,11,11,13,65,94,53,66,50,9,84
106,nombreA10,apellidoA10,44137,131.31,Activo,42841,68,66,39,31,30,25,54,71,58,53,91,25,36,63,64,11,16,37,18,73,51,73,31,8,64,73,18,31,83,13,94,56,47,12,35,49,35,51,12,94,57,86,35
107,nombreA11,apellidoA11,44167,132.56,Activo,42842,17,72,9,75,58,42,94,91,77,94,67,82,67,56,21,87,18,46,60,63,43,99,87,47,2,19,2,21,58,69,28,32,1,33,1,85,84,49,21,73,28,26,23
108,nombreA12,apellidoA12,44198,133.81,Activo,42843,92,79,34,29,30,61,8,96,57,60,8,88,37,58,32,53,25,54,14,16,50,62,29,5,22,55,78,6,90,5,52,84,87,53,2,98,49,22,58,37,22,98,97
109,nombreA13,apellidoA13,44229,135.06,Activo,42844,40,86,18,74,15,14,92,67,91,75,75,1,47,98,50,68,27,92,57,45,32,93,19,88,58,77,82,49,24,82,1,59,92,54,88,8,54,99,9,27,22,15,46
110,nombreA14,apellidoA14,44257,136.31,Activo,42845,14,20,94,80,45,2,21,79,19,39,24,4,60,2,15,28,89,1,21,59,71,23,60,95,68,40,34,53,0,42,90,64,61,7,88,45,36,83,22,29,26,21,9
111,nombreA15,apellidoA15,44288,137.56,Activo,42846,44,36,44,63,56,87,43,66,68,71,38,74,19,95,94,71,77,58,10,15,83,33,54,95,72,1,85,14,11,62,73,82,26,43,22,83,62,75,61,10,41,37,15
112,nombreA16,apellidoA16,44318,138.81,Activo,42847,11,72,67,26,96,20,9,17,5,52,81,44,71,66,34,32,22,63,72,25,73,4,12,56,52,29,66,13,85,25,67,1,51,4,56,3,45,32,8,95,46,85,40
113,nombreA17,apellidoA17,44349,140.06,Activo,42848,77,23,94,11,47,92,24,2,82,49,86,79,68,37,44,17,31,89,26,55,21,7,80,10,58,19,73,86,2,56,21,87,53,52,16,88,53,31,8,82,57,57,96
114,nombreA18,apellidoA18,44379,141.31,Activo,42849,35,86,72,60,67,22,89,51,45,93,82,66,58,13,31,18,69,87,6,65,27,20,10,7,7,21,4,76,50,1,47,31,37,77,94,11,17,98,0,21,91,27,65
115,nombreA19,apellidoA19,44410,142.56,Activo,42850,38,38,82,29,68,35,66,57,74,92,72,71,33,33,42,80,76,3,50,96,7,97,44,54,89,68,28,27,31,80,99,31,8,52,41,37,48,53,38,95,28,64,2
116,nombreA20,apellidoA20,44441,143.81,Activo,42851,55,30,8,54,16,83,58,12,75,94,34,94,60,54,59,81,46,27,25,50,63,5,31,92,24,65,23,47,68,87,70,67,73,44,89,68,58,50,61,46,82,31,91
117,nombreA21,apellidoA21,44471,145.06,Activo,42852,15,81,67,39,3,28,50,75,34,33,77,17,34,7,32,87,73,4,1,89,20,83,83,97,54,77,69,68,60,76,34,59,75,94,81,83,55,76,64,56,89,69,67
